accuracy,f1,roc_auc,precision,recall,userId,train_size,test_size,model
0.625,0.7272727272727273,0.875,0.5714285714285714,1.0,41450,29,8,GCN
0.42857142857142855,0.0,0.25,0.0,0.0,4241,27,7,GCN
0.75,0.5,0.6666666666666666,1.0,0.3333333333333333,12745,31,8,GCN
0.625,0.7692307692307693,0.8666666666666667,0.625,1.0,31309,32,8,GCN
0.625,0.4,0.8,0.5,0.3333333333333333,183847,32,8,GCN
0.7142857142857143,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,88759,27,7,GCN
0.5,0.0,0.8125,0.0,0.0,59458,29,8,GCN
0.25,,,,,264080,32,8,GCN
0.5555555555555556,0.7142857142857143,0.7000000000000001,0.5555555555555556,1.0,101780,35,9,GCN
0.4,0.25,0.7142857142857143,1.0,0.14285714285714285,124678,36,10,GCN
0.5555555555555556,0.7142857142857143,0.7777777777777779,0.625,0.8333333333333334,153299,36,9,GCN
0.7,0.7999999999999999,0.7142857142857143,0.75,0.8571428571428571,123015,38,10,GCN
0.6,0.7499999999999999,0.7083333333333334,0.6,1.0,7395,38,10,GCN
0.7777777777777778,0.8750000000000001,0.5714285714285714,0.7777777777777778,1.0,134447,35,9,GCN
0.5555555555555556,0.0,0.9,0.0,0.0,2574,35,9,GCN
0.6666666666666666,0.0,0.5555555555555556,0.0,0.0,160714,32,9,GCN
0.5555555555555556,0.7142857142857143,0.8500000000000001,0.5555555555555556,1.0,101302,32,9,GCN
0.7777777777777778,0.8571428571428571,0.8333333333333334,0.75,1.0,206911,36,9,GCN
0.3,0.2222222222222222,0.5,1.0,0.125,172426,37,10,GCN
0.4444444444444444,0.6153846153846153,0.39999999999999997,0.4444444444444444,1.0,14228,36,9,GCN
0.5555555555555556,0.0,0.3571428571428572,0.0,0.0,143607,35,9,GCN
0.6,0.7499999999999999,0.41666666666666663,0.6,1.0,100547,37,10,GCN
0.7,0.8235294117647058,0.4285714285714286,0.7,1.0,104582,38,10,GCN
0.8,0.888888888888889,0.6875,0.8,1.0,133224,38,10,GCN
0.6,0.7499999999999999,0.5833333333333334,0.6,1.0,9487,37,10,GCN
0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,240808,33,9,GCN
0.6666666666666666,0.4,0.9500000000000001,1.0,0.25,166320,33,9,GCN
0.7,0.8235294117647058,0.04761904761904762,0.7,1.0,170671,38,10,GCN
0.5,0.6666666666666666,0.56,0.5,1.0,64804,38,10,GCN
0.4444444444444444,0.5454545454545454,0.7222222222222222,0.375,1.0,43030,35,9,GCN
0.4444444444444444,0.6153846153846154,0.25,0.5,0.8,161350,32,9,GCN
0.8333333333333334,0.0,0.19999999999999996,0.0,0.0,17903,45,12,GCN
0.9090909090909091,0.9473684210526316,0.6666666666666666,0.9,1.0,132871,44,11,GCN
0.6,0.7499999999999999,0.75,0.6,1.0,260519,39,10,GCN
0.6,0.7499999999999999,0.625,0.6,1.0,2258,40,10,GCN
0.8181818181818182,0.875,0.9583333333333334,0.875,0.875,31568,43,11,GCN
0.2727272727272727,0.2,0.19999999999999998,0.25,0.16666666666666666,161209,40,11,GCN
0.7272727272727273,0.7999999999999999,0.6428571428571428,0.75,0.8571428571428571,27544,44,11,GCN
0.8,0.888888888888889,0.375,0.8,1.0,194156,40,10,GCN
0.6666666666666666,0.6,0.6857142857142857,1.0,0.42857142857142855,101876,46,12,GCN
0.7,0.8235294117647058,1.0,0.7,1.0,84803,40,10,GCN
0.36363636363636365,0.2222222222222222,0.4666666666666667,0.3333333333333333,0.16666666666666666,168900,41,11,GCN
0.9090909090909091,0.0,0.5,0.0,0.0,13638,41,11,GCN
0.6666666666666666,0.33333333333333337,0.4571428571428572,1.0,0.2,230666,44,12,GCN
0.36363636363636365,0.22222222222222224,0.25,0.5,0.14285714285714285,208545,43,11,GCN
0.8333333333333334,0.888888888888889,0.95,1.0,0.8,218342,44,12,GCN
0.2727272727272727,0.3333333333333333,0.4642857142857143,0.4,0.2857142857142857,148958,41,11,GCN
0.8181818181818182,0.8750000000000001,0.7142857142857143,0.7777777777777778,1.0,178748,44,11,GCN
0.6363636363636364,0.7142857142857143,0.5357142857142857,0.7142857142857143,0.7142857142857143,121924,43,11,GCN
0.3333333333333333,0.42857142857142855,1.0,0.2727272727272727,1.0,133818,44,12,GCN
0.6363636363636364,0.75,0.5,0.6666666666666666,0.8571428571428571,230102,41,11,GCN
0.45454545454545453,0.625,0.7333333333333334,0.45454545454545453,1.0,133583,42,11,GCN
0.7272727272727273,0.4,0.7857142857142857,1.0,0.25,170380,44,11,GCN
